Arrondissement,Noms du réseau,Nom du lieu culturel municipal,Adresse,Code postal,Ville,Province,Téléphone général,Site Internet,Longitude,Latitude
Outremont,Bibliothèque,Bibliothèque Robert-Bourassa,"41, avenue Saint-Just",H2V 4T7,Montréal,QC,514 495-6208,"https://fr-ca.facebook.com/bibli.robert.bourassa,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=44",-73.6085011,45.517746
Rosemont-“La Petite-Patrie,Bibliothèque,Bibliothèque de Rosemont,"3131, boulevard Rosemont",H1Y 1M4,Montréal,QC,514 872-4701,"https://fr-fr.facebook.com/bibliRosemont?sk=app_2373072738,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=45",-73.5820184,45.5515175
Pierrefonds-Roxboro,Bibliothèque,Bibliothèque de Roxboro,"110, rue Cartier",H8Y 1G8,Montréal,QC,514 684-8247,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=46",-73.8133091,45.5041334
Le Sud-Ouest,Bibliothèque,Bibliothèque de Saint-Charles,"2333, rue Mullins",H3K 3E3,Montréal,QC,514 872-3092,"https://www.facebook.com/pages/Biblioth%C3%A8que-Saint-Charles/218986748116634,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=47",-73.5643984,45.4788404
Le Sud-Ouest,Bibliothèque,Bibliothèque de Saint-Henri,"4707, rue Notre-Dame Ouest",H4C 1S9,Montréal,QC,514 872-2879,"https://www.facebook.com/bibliosainthenri,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=34",-73.588888,45.4726771
Saint-Laurent,Bibliothèque,Bibliothèque du Vieux-Saint-Laurent,"1380, rue de l'à‰glise",H4L 2H2,Montréal,QC,514 855-6130,"https://www.facebook.com/bibliotheques.saint.laurent,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=48",-73.6765622,45.5126898
Saint-Léonard,Bibliothèque,Bibliothèque de Saint-Léonard,"8420, boulevard Lacordaire",H1R 3G5,Montréal,QC,514 328-8500   #8592,"https://fr-fr.facebook.com/bibliothequedesaintleonard,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=49",-73.5971925,45.586646
Villeray-“Saint-Michel-“Parc-Extension,Bibliothèque,Bibliothèque de Saint-Michel,"7601, rue François-Perrault",H2A 3L6,Montréal,QC,514 872-3899,"https://www.facebook.com/bibliodesaintmichel,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=50",-73.6023914,45.562238
Lachine,Bibliothèque,Bibliothèque de Saint-Pierre,"183, rue des à‰rables",H8R 1B1,Montréal,QC,514 634-3471   #826,"https://www.facebook.com/bibliothequesdelachine,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=51",-73.651088,45.445771
Ahuntsic-Cartierville,Bibliothèque,Bibliothèque De Salaberry,"4170, rue de Salaberry",H4J 1H1,Montréal,QC,514 872-1521,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=54",-73.703999,45.5347082
Lachine,Bibliothèque,Bibliothèque Saul-Bellow,"800, rue Sherbrooke",H8S 1H2,Lachine,QC,514 872-5080,"https://www.facebook.com/bibliothequesdelachine,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=55",-73.6709621,45.4449735
Verdun,Bibliothèque,Bibliothèque Jacqueline-De Repentigny ,"5955, rue Bannantyne",H4H 1H6,Montréal,QC,514 765-7170,"https://www.facebook.com/bibliothequesdeverdun,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=56",-73.5770269,45.4482057
Rivière-des-Prairies-“Pointe-aux-Trembles,Bibliothèque,Cégep Marie-Victorin -“ Salle Désilets ,"7000, rue Marie-Victorin",H1G 2J6,Montréal,QC,514 328-3878,http://www.collegemv.qc.ca/fr-CA/Accueil/Services_a_la_communaute/centre_culturel_espace_7000/index.aspx,-73.6095497,45.6158376
Rosemont-“La Petite-Patrie,Bibliothèque,Maison de la culture Rosemont-”La Petite-Patrie,"6707, avenue De Lorimier",H2G 2P8,Montréal,,514 872-1730,"http://ville.montreal.qc.ca/portal/page?_pageid=7357,75921580&_dad=portal&_schema=PORTAL",-73.5982708,45.5473877
Verdun,Bibliothèque,Maison Nivard-De Saint-Dizier,"7244, boulevard LaSalle",H4H 1R4,Montréal,QC,514 765-7284,https://www.facebook.com/MaisonNivardDeSaintDizier,-73.5830645,45.4374917
Côte-des-Neiges-“Notre-Dame-de-Grâce,Bibliothèque,Maison de la culture de Côte-des-Neiges,"5290, chemin de la Côte-des-Neiges",H3T 1Y2,Montréal,QC,514 872-6889,"http://ville.montreal.qc.ca/portal/page?_pageid=7497,80863570&_dad=portal&_schema=PORTAL",-73.6221234,45.4960871
Verdun,Bibliothèque,à‰glise Notre-Dame-des-Sept-Douleurs,"4155, rue Wellington",H4G 1V8,Montréal,QC,514 761-3496,www.facebook.com/verdunenscenes,-73.5670442,45.4627187
Ahuntsic-Cartierville,Bibliothèque,Maison de la culture Ahuntsic-Cartierville,"10300, rue Lajeunesse, 1er étage",H3L 2E5,Montréal,QC,514 872-8749,"www.facebook.com/mcahuntsic,http://ville.montreal.qc.ca/portal/page?_pageid=7957,87797581&_dad=portal&_schema=PORTAL",-73.6639985,45.5537471
Saint-Laurent,Bibliothèque,Centre des loisirs de Saint-Laurent,"1375, rue Grenet",H4L 5K3,Montréal,QC,514 855-6110,"https://www.facebook.com/ArrSaintLaurent,http://ville.montreal.qc.ca/portal/page?_pageid=7937,86683617&_dad=portal&_schema=PORTAL",-73.6913545,45.5140704
Le Plateau-Mont-Royal,"Bibliothèque,Centre communautaire,Salle de spectacle",Maison de la culture du Plateau-Mont-Royal,"465, avenue du Mont-Royal Est",H2J 1W3,Montréal,QC,514 872-2266,"https://www.facebook.com/maisondelacultureduplateau,http://ville.montreal.qc.ca/portal/page?_pageid=7297,74439577&_dad=portal&_schema=PORTAL",-73.5823694,45.5248239
